ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
279697907,12/29/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,Q,101,0,25-44,M,BLACK,1052559,159711,40.60478281508588,-73.75399789247773,POINT (-73.75399789247773 40.60478281508588)
279695570,12/29/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,41,1,45-64,M,WHITE,1014509,238113,40.820188951147415,-73.8906752472269,POINT (-73.8906752472269 40.820188951147415)
279697906,12/29/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,Q,110,1,25-44,M,WHITE HISPANIC,1014344,211317,40.74664168277901,-73.89139142095587,POINT (-73.89139142095587 40.74664168277901)
279697891,12/29/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,78,1,25-44,F,BLACK,990502,188496,40.68405249798437,-73.97745785403545,POINT (-73.97745785403545 40.68405249798437)
279697699,12/29/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,83,1,25-44,M,BLACK,1002212,193214,40.69698630037214,-73.93522383122014,POINT (-73.93522383122014 40.69698630037214)
279680677,12/29/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,48,0,25-44,M,BLACK,1017426,245419,40.84023133456983,-73.88010010626483,POINT (-73.88010010626483 40.84023133456983)
279682763,12/29/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,40,1,25-44,M,BLACK,1005028,234516,40.8103518634571,-73.924942325642,POINT (-73.924942325642 40.8103518634571)
279685076,12/29/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,48,1,45-64,M,WHITE HISPANIC,1017426,245419,40.84023133456983,-73.88010010626483,POINT (-73.88010010626483 40.84023133456983)
279682756,12/29/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,48,1,45-64,M,BLACK HISPANIC,1017426,245419,40.84023133456983,-73.88010010626483,POINT (-73.88010010626483 40.84023133456983)
279695590,12/29/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,76,1,18-24,M,BLACK,984869,185103,40.674741668197576,-73.99776845166649,POINT (-73.99776845166649 40.674741668197576)
279669355,12/29/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,M,18,1,25-44,M,BLACK HISPANIC,988511,215874,40.75919967250471,-73.98461925002194,POINT (-73.98461925002194 40.75919967250471)
279690688,12/29/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,83,1,25-44,M,BLACK,1002212,193214,40.69698630037214,-73.93522383122014,POINT (-73.93522383122014 40.69698630037214)
279656579,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,83,1,18-24,M,BLACK,1002212,193214,40.69698630037214,-73.93522383122014,POINT (-73.93522383122014 40.69698630037214)
279635629,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,41,1,25-44,M,WHITE HISPANIC,1010774,235171,40.812125995016096,-73.90418129247784,POINT (-73.90418129247784 40.812125995016096)
279635628,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,41,1,25-44,M,WHITE HISPANIC,1010774,235171,40.812125995016096,-73.90418129247784,POINT (-73.90418129247784 40.812125995016096)
279621707,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,40,1,45-64,M,WHITE HISPANIC,1007046,236603,40.81606683945181,-73.91764392674679,POINT (-73.91764392674679 40.81606683945181)
279642425,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,M,25,17,18-24,M,BLACK,1001351,232462,40.804715,-73.938227,POINT (-73.938227 40.804715)
279623826,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,84,0,25-44,M,BLACK,987792,192047,40.69380067606964,-73.98722713465035,POINT (-73.98722713465035 40.693800676069635)
279642406,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,41,1,25-44,M,BLACK,1014509,238113,40.820188951147415,-73.8906752472269,POINT (-73.8906752472269 40.820188951147415)
279653827,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,81,1,45-64,M,BLACK,1005983,186617,40.6788705991623,-73.92164580117114,POINT (-73.92164580117114 40.6788705991623)
279638846,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,75,1,45-64,M,WHITE HISPANIC,1011981,185869,40.67680075151752,-73.90002424733431,POINT (-73.90002424733431 40.67680075151752)
279649008,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,41,1,25-44,M,WHITE HISPANIC,1014509,238113,40.820188951147415,-73.8906752472269,POINT (-73.8906752472269 40.820188951147415)
279629342,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,71,0,25-44,M,WHITE HISPANIC,998677,180941,40.66330617482754,-73.94799833532684,POINT (-73.94799833532684 40.66330617482754)
279646244,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,S,120,0,25-44,F,WHITE,963713,173753,40.643566,-74.074001,POINT (-74.074001 40.643566)
279657026,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,77,0,25-44,M,BLACK,1003358,182945,40.66879784311929,-73.9311201452519,POINT (-73.9311201452519 40.66879784311929)
279609352,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,44,1,25-44,M,WHITE,1004749,240880,40.82781161940969,-73.92592932593037,POINT (-73.92592932593037 40.82781161940969)
279646212,12/28/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,41,0,45-64,M,BLACK HISPANIC,1014509,238113,40.820188951147415,-73.8906752472269,POINT (-73.8906752472269 40.820188951147415)
279568791,12/27/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,41,1,25-44,M,BLACK,1013878,239551,40.82413799033059,-73.89294867750611,POINT (-73.89294867750611 40.82413799033059)
