station_complex_id,netRidership,total_spending,avg_fare_per_ride,Metrocard - Fair Fare_pct,Metrocard - Full Fare_pct,Metrocard - Other_pct,Metrocard - Seniors & Disability_pct,Metrocard - Students_pct,Metrocard - Unlimited 30-Day_pct,Metrocard - Unlimited 7-Day_pct,OMNY - Full Fare_pct,OMNY - Other_pct,OMNY - Seniors & Disability_pct,Latitude,Longitude,MEAN_Median_Inc,Male_Total_pct,Female_Tot_pct,White_Alon_pct,Black_Alon_pct,Hispanic_L_pct,Non_Hispan_pct
1,1271659,3088173.4499999997,2.428460341962743,0.015478992402837554,0.19851076428507958,0.05202967147639422,0.02671156339867842,0.048285743269225474,0.13414445224702534,0.07017211375062025,0.4534210822240868,2.0445732700354417e-05,0.001225171213352007,40.775036,-73.912034,107187.3,0.500530750348305,0.4994692496516951,0.6521263185828966,0.030849863995223246,0.7862734691169642,0.2137265308830359
10,606571,1533035.78,2.5273806034248256,0.014135196044650997,0.18799118322504701,0.02804288368550425,0.019336565711186325,0.018548529356002843,0.06789312380578695,0.20663862927835325,0.45663739281963694,8.737641595130661e-05,0.0006891196578801162,40.759901,-73.984139,116506.0,0.5819886472351553,0.4180113527648447,0.6025256712800561,0.06747879329038842,0.8641494993303145,0.13585050066968557
100,172148,421531.76999999996,2.4486591188976923,0.029625670934312336,0.13732369821316542,0.03447033947533518,0.03622464391105328,0.04464181982944908,0.10531635569393777,0.08129051746171899,0.5302762739038501,0.00012779701187350418,0.0007028835653042731,40.70687,-73.953431,58047.11111,0.4954461048722257,0.5045538951277744,0.6303165620302414,0.048921213193032095,0.7259704660005305,0.27402953399946944
101,704067,1748666.77,2.483665290377194,0.036553339383893865,0.1326720326332579,0.04400149417598041,0.0346586333402929,0.0401836757013182,0.08564667851213023,0.06323829976408495,0.5621993361427251,6.533469115865393e-05,0.0007811756551578188,40.708359,-73.957757,96845.63636,0.4902696365767878,0.5097303634232122,0.6540780438787472,0.04669234634064646,0.733830179199464,0.2661698208005359
103,85369,203469.1,2.383407325844276,0.04437207885766496,0.13803605524253534,0.04582459675057691,0.026508451545643033,0.04853049701882416,0.09054809122749476,0.15298293291475829,0.4525998898897726,2.3427707950192692e-05,0.000573978844779721,40.72028,-73.993915,89467.0,0.48971709954620063,0.5102829004537993,0.44720961668436804,0.04591097808245631,0.8795742010234624,0.1204257989765376
107,92985,226258.69,2.433281604559875,0.026230037102758508,0.1495079851588966,0.07593697908264774,0.01989568209926332,0.03443566166586008,0.09879012743990967,0.13876431682529441,0.4554820670000538,0.00017207076410173685,0.0007850728612141744,40.706476,-74.011056,166011.7143,0.46876758581879574,0.5312324141812043,0.6223269555430501,0.04926374038641906,0.9232554867754643,0.07674451322453574
108,249577,570658.97,2.2865046458607963,0.028860832528638455,0.23114710089471385,0.06250575974548937,0.026873469911089562,0.05748927184796676,0.16344454817551296,0.1361062918458031,0.29315201320634515,2.0033897354323514e-05,0.0004006779470864703,40.711396,-73.889601,58514.16667,0.4890260631001372,0.5109739368998628,0.5581030766215952,0.02606310013717421,0.5940623162845385,0.4059376837154615
109,572681,1315523.3399999999,2.2971311078942724,0.029505082236009228,0.2035915282679188,0.037638755258162924,0.0347278851577056,0.08192693663662667,0.1296655555186919,0.098314768605908,0.38428723844513785,2.2700246734220274e-05,0.0003195496271047931,40.706186,-73.895877,85895.57143,0.498786262883521,0.501213737116479,0.5402920928011461,0.028453181583031558,0.5936965259262207,0.4063034740737793
110,420590,985310.6799999999,2.34268689222283,0.02668869920825507,0.20923702418031812,0.028652607051998385,0.02809862336241946,0.07491381155044105,0.129793861004779,0.09316911957012768,0.40885898380845953,0.0,0.0005872702632016928,40.704423,-73.903077,91660.1,0.4844990548204159,0.5155009451795841,0.5152173913043478,0.040524574669187144,0.5677930056710775,0.4322069943289225
111,264773,617853.78,2.3335226023801523,0.03027876709483218,0.18941130704414724,0.030123917468926214,0.02350315175641021,0.09301552650761218,0.09947011213379008,0.08668179912604382,0.4471301832135452,7.5536402880958405e-06,0.00037768201440479204,40.702762,-73.90774,85639.91667,0.5013275641656013,0.4986724358343987,0.4147900481856623,0.056347723473301206,0.4648244665158816,0.5351755334841184
113,314239,748255.37,2.3811664688342313,0.03256756799760692,0.2067534583549464,0.034336921897027424,0.01705071617463141,0.08498626841353238,0.0806328940710733,0.08833722103239891,0.454838514633766,1.272916474403241e-05,0.0004837082602732315,40.698664,-73.919711,76642.54545,0.47481405989114644,0.5251859401088536,0.2661057744432639,0.16315024828154476,0.4387969729167118,0.5612030270832882
114,324658,793501.9299999999,2.4441163624491002,0.02263304769942524,0.14622772271128387,0.03191666307314158,0.010962304948592056,0.07381613882916792,0.08948493491612712,0.06813631575380863,0.5567797497674476,9.24049307271036e-06,3.388180793327132e-05,40.697857,-73.927397,91304.6,0.4828926120306823,0.5171073879693178,0.32991017359709324,0.15797840129188534,0.5189241017359709,0.4810758982640291
118,134755,341540.07,2.5345261400319097,0.02263366850951727,0.1185855812400282,0.04218025305183481,0.02307150012986531,0.025127082483024747,0.10728358873511187,0.0676338540313903,0.59195577158547,5.1946124448072426e-05,0.0014767541093094875,40.732849,-73.986122,160470.5455,0.48549362536776725,0.5145063746322328,0.6846872616323417,0.04842268715266427,0.8915359049798409,0.1084640950201591
