GEO_ID,NAME,Median_Income,NAME_sex,Total_Population,Male_Total,Female_Total,NAME_race,Race_Total,White_Alone,Black_Alone,NAME_hispanic,Ethnicity_Total,Hispanic_Latino,Non_Hispanic_Latino,GEOID
1400000US36005004600,Census Tract 46; Bronx County; New York,21346,Census Tract 46; Bronx County; New York,1784,727,1057,Census Tract 46; Bronx County; New York,1784,439,567,Census Tract 46; Bronx County; New York,1784,580,1204,36005004600
1400000US36005004800,Census Tract 48; Bronx County; New York,45118,Census Tract 48; Bronx County; New York,4139,2041,2098,Census Tract 48; Bronx County; New York,4139,434,903,Census Tract 48; Bronx County; New York,4139,882,3257,36005004800
1400000US36005005001,Census Tract 50.01; Bronx County; New York,35164,Census Tract 50.01; Bronx County; New York,4597,2052,2545,Census Tract 50.01; Bronx County; New York,4597,80,1461,Census Tract 50.01; Bronx County; New York,4597,1486,3111,36005005001
1400000US36005005002,Census Tract 50.02; Bronx County; New York,36066,Census Tract 50.02; Bronx County; New York,6338,3200,3138,Census Tract 50.02; Bronx County; New York,6338,119,1598,Census Tract 50.02; Bronx County; New York,6338,1860,4478,36005005002
1400000US36005005100,Census Tract 51; Bronx County; New York,25468,Census Tract 51; Bronx County; New York,6795,2613,4182,Census Tract 51; Bronx County; New York,6795,651,3266,Census Tract 51; Bronx County; New York,6795,2739,4056,36005005100
1400000US36005005200,Census Tract 52; Bronx County; New York,35147,Census Tract 52; Bronx County; New York,1787,613,1174,Census Tract 52; Bronx County; New York,1787,119,656,Census Tract 52; Bronx County; New York,1787,542,1245,36005005200
1400000US36005005300,Census Tract 53; Bronx County; New York,22352,Census Tract 53; Bronx County; New York,4596,2124,2472,Census Tract 53; Bronx County; New York,4596,517,2321,Census Tract 53; Bronx County; New York,4596,2472,2124,36005005300
1400000US36005005400,Census Tract 54; Bronx County; New York,58452,Census Tract 54; Bronx County; New York,5306,2566,2740,Census Tract 54; Bronx County; New York,5306,92,1674,Census Tract 54; Bronx County; New York,5306,1891,3415,36005005400
1400000US36005005600,Census Tract 56; Bronx County; New York,47628,Census Tract 56; Bronx County; New York,2531,1237,1294,Census Tract 56; Bronx County; New York,2531,58,411,Census Tract 56; Bronx County; New York,2531,734,1797,36005005600
1400000US36005005902,Census Tract 59.02; Bronx County; New York,46902,Census Tract 59.02; Bronx County; New York,3044,1520,1524,Census Tract 59.02; Bronx County; New York,3044,795,701,Census Tract 59.02; Bronx County; New York,3044,1538,1506,36005005902
