Complex_ID,Latitude,Longitude,MEAN_Median_Inc,SUM_Total_Popu,SUM_Male_Total,SUM_Female_Tot,SUM_White_Alon,SUM_Black_Alon,SUM_Hispanic_L,SUM_Non_Hispan
601,40.73779633,-73.997732,168771.1,51247,25470,25777,37687,1674,45352,5895
602,40.735066,-73.99041633,186822.25,61053,29199,31854,41884,3032,55510,5543
603,40.8183925,-73.9270345,38380,30992,14239,16753,4767,13928,13726,17266
604,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
605,40.8406375,-73.939847,50700.4,63754,30709,33045,12996,6803,18680,45074
606,40.747141,-73.945032,133116.8571,20475,10945,9530,9112,967,18283,2192
607,40.749643,-73.9878865,146756.3333,22857,10598,12259,13190,1773,20295,2562
608,40.6705595,-73.9890405,137320.2222,20812,10549,10263,13341,1234,16536,4276
609,40.7540215,-73.983266,114532.5,16388,8048,8340,8812,1811,14358,2030
610,40.751992,-73.97735933,126234.2222,35073,16174,18899,21221,1556,31864,3209
611,40.755746,-73.9875808,87664,18071,9677,8394,8609,2307,15385,2686
612,40.7573295,-73.9704875,145754.3,25966,12339,13627,18203,662,24062,1904
613,40.762593,-73.9676125,142025.8667,43929,19822,24107,33836,1039,40105,3824
614,40.7682715,-73.9818325,137231.75,42841,22477,20364,28035,1784,37523,5318
615,40.625657,-73.996624,61493.77778,33494,17868,15626,16466,606,27533,5961
616,40.746746,-73.891366,75433,61482,30841,30641,16282,1388,38934,22548
617,40.68416167,-73.97778867,161011.8182,37731,17418,20313,18302,7499,31710,6021
618,40.740335,-74.002134,146082.5455,62685,31370,31315,45617,2881,53420,9265
619,40.725606,-73.9954315,139778.3333,50513,24876,25637,33241,1943,44623,5890
620,40.693241,-73.990642,171555.6364,42091,19585,22506,27100,3556,38035,4056
621,40.678896,-73.904356,52558.9,29536,13618,15918,5210,14287,16888,12648
622,40.713154,-74.003766,89612.5,48803,22157,26646,25554,4287,43864,4939
623,40.71870125,-74.00058,83667,42172,20260,21912,22630,1483,38890,3282
624,40.712603,-74.0095515,111905,59858,28551,31307,38626,3443,54904,4954
625,40.718463,-73.9877755,68848.7,48174,23016,25158,20879,3640,39822,8352
626,40.6705125,-73.958688,89748.4,44113,20288,23825,14222,20372,37440,6673
627,40.680988,-73.9563375,113304,38488,17797,20691,15964,13443,32912,5576
628,40.71008875,-74.00783825,144585.375,44004,20558,23446,27554,3111,40082,3922
629,40.7134275,-73.9508465,140063.4444,36397,18617,17780,20199,1873,24790,11607
630,40.699622,-73.9119855,85993,43780,21332,22448,13941,4474,19332,24448
635,40.7025775,-74.013329,171196.8,26386,13060,13326,17148,1096,24161,2225
636,40.692259,-73.986642,164937.3,38470,17618,20852,19878,6116,34077,4393
271,40.756879,-73.92074,86027.3,26228,13481,12747,14639,885,19343,6885
272,40.752039,-73.928781,81193.125,14510,7799,6711,6108,533,10851,3659
273,40.748973,-73.937243,93415.66667,15453,8275,7178,6045,739,13428,2025
276,40.760167,-73.975224,149758.9091,16924,9460,7464,11077,884,15403,1521
277,40.762862,-73.981637,134751.1111,36744,21231,15513,23790,1804,31688,5056
278,40.702147,-73.801109,53913,20998,10555,10443,1845,4170,11966,9032
279,40.700486,-73.807969,55716.16667,24414,12596,11818,1920,4725,14018,10396
280,40.702566,-73.816859,70660,37240,19174,18066,6522,4502,21925,15315
282,40.744065,-73.949724,122258.1667,15976,8086,7890,7626,779,14055,1921
283,40.731352,-73.954449,114322.125,22650,11489,11161,15036,1093,18305,4345
284,40.724635,-73.951277,154470.3,29985,14668,15317,21427,852,26057,3928
286,40.706092,-73.950308,58678.5,48242,23722,24520,29268,3447,34502,13740
287,40.700377,-73.950234,52372.6,71226,34829,36397,44967,8550,54629,16597
288,40.694568,-73.949046,68505,45159,21478,23681,18937,14168,34680,10479
289,40.689627,-73.953522,98001.72727,47393,20732,26661,20448,15001,40863,6530
290,40.688873,-73.96007,118245,40786,18193,22593,20076,10880,35459,5327
291,40.688089,-73.966839,137022.7778,36095,16113,19982,17658,8768,31455,4640
292,40.687119,-73.975375,148217.3333,37233,17244,19989,18156,7392,32065,5168
293,40.889248,-73.898583,81293.4,11787,5559,6228,5071,1718,5984,5803
294,40.884667,-73.90087,71285.22222,32845,15551,17294,10809,4322,13755,19090
295,40.878856,-73.904834,58628.66667,48225,21897,26328,12692,8637,17409,30816
296,40.874561,-73.909831,54750,41492,18971,22521,12609,9244,16312,25180
297,40.869444,-73.915279,61072.4,19850,9183,10667,5507,2536,6449,13401
298,40.864621,-73.918822,57859.85714,40175,18884,21291,8477,5170,10178,29997
299,40.860531,-73.925536,53732.5,50839,23951,26888,10582,4876,12670,38169
300,40.855225,-73.929412,58212.28571,42177,21087,21090,11050,3573,12468,29709
301,40.849505,-73.933596,65255.4,69008,34733,34275,20331,5240,22456,46552
303,40.834041,-73.94489,43695.33333,56765,27005,29760,10533,14766,25806,30959
304,40.826551,-73.95036,66300.5,45353,22655,22698,9640,14147,23898,21455
305,40.822008,-73.953676,44009,47030,23885,23145,9555,15576,23205,23825
306,40.815581,-73.958372,68329.375,45189,21697,23492,14364,10897,28644,16545
307,40.807722,-73.96411,109251.625,42059,19333,22726,22318,4584,34875,7184
308,40.803967,-73.966847,101630.625,55698,25603,30095,28608,7003,41747,13951
309,40.799446,-73.968379,114394,68927,32636,36291,38023,8271,52376,16551
310,40.793919,-73.972323,131911.2222,80294,37045,43249,51483,6577,65093,15201
311,40.788644,-73.976218,175932.125,69106,32629,36477,53886,2157,60825,8281
312,40.783934,-73.979917,178594.1111,74442,34674,39768,59721,2085,67895,6547
313,40.778453,-73.98197,156000.5455,70042,32623,37419,51842,2289,64088,5954
314,40.77344,-73.982209,138002.8889,50730,23414,27316,35220,1775,45700,5030
316,40.761728,-73.983849,118072.5,40552,23498,17054,25649,2571,34720,5832
318,40.750373,-73.991057,123446.9,28614,13602,15012,15376,2724,24540,4074
319,40.747215,-73.993365,151411.1,41888,20574,21314,26245,3514,35724,6164
320,40.744081,-73.995657,144127.2,53051,26505,26546,35844,3436,45504,7547
321,40.74104,-73.997871,148112.7,57746,29124,28622,40429,3004,49499,8247
323,40.733422,-74.002906,147914.2222,42602,20181,22421,34379,1189,38523,4079
324,40.728251,-74.005367,149518.25,34765,16891,17874,25981,1243,31416,3349
325,40.722854,-74.006277,129007.4286,26286,12822,13464,18127,991,23799,2487
326,40.719318,-74.006886,107358,29662,13993,15669,20161,1492,26727,2935
327,40.715478,-74.009266,92455.5,42365,19891,22474,27329,2528,39033,3332
328,40.711835,-74.012188,150015.8889,63642,29973,33669,40376,3199,58289,5353
329,40.707513,-74.013783,148333.1429,40831,20438,20393,26405,1776,37722,3109
333,40.706821,-74.0091,183875.4,32501,15086,17415,20324,1940,30251,2250
334,40.697466,-73.993086,168386.3636,45977,22008,23969,32974,2438,42389,3588
336,40.690545,-73.985065,164937.3,38470,17618,20852,19878,6116,34077,4393
337,40.688246,-73.980492,171516.4444,29452,13678,15774,14442,4915,25874,3578
339,40.680829,-73.975098,156111.3,35094,16201,18893,18856,6238,29640,5454
340,40.675235,-73.971046,132556.8889,37948,17467,20481,26032,3311,34093,3855
341,40.671987,-73.964375,100668.7778,40713,18452,22261,20469,12335,36868,3845
343,40.669847,-73.950466,88907.25,48144,22522,25622,16992,22846,42958,5186
344,40.669399,-73.942161,73468.58333,42524,20797,21727,15800,19745,37508,5016
345,40.668897,-73.932942,60643.73333,44145,19977,24168,9961,27019,38458,5687
346,40.664717,-73.92261,41304.9,43584,18782,24802,2304,34325,39009,4575
347,40.661453,-73.916327,43216.09091,45806,20960,24846,2116,35917,40719,5087
348,40.662549,-73.908946,37518.3,39762,16988,22774,2729,26723,30036,9726
349,40.663515,-73.902447,37136.7,41734,16602,25132,3185,27082,29261,12473
350,40.664635,-73.894895,47268.4,36756,15815,20941,1799,25863,26188,10568
351,40.665449,-73.889395,58386.2,34756,16146,18610,1499,24880,26488,8268
352,40.666235,-73.884079,63462.27273,38218,18032,20186,1956,26480,29522,8696
353,40.667883,-73.950683,87146.28571,58216,27177,31039,21327,27594,52489,5727
354,40.662742,-73.95085,78982.58333,45630,21268,24362,15786,22841,40750,4880
355,40.656652,-73.9502,76197.66667,34557,15110,19447,5444,23746,31473,3084
356,40.650843,-73.949575,83020.44444,42459,19392,23067,4220,30527,37683,4776
357,40.645098,-73.948959,71980.54545,35481,16456,19025,1715,27210,31998,3483
358,40.639967,-73.948411,70910.33333,36840,17287,19553,1887,28166,33287,3553
359,40.632836,-73.947642,76362.83333,32446,15710,16736,6860,18578,29649,2797
360,40.852462,-73.828121,36597.4,15331,7251,8080,6795,1510,8012,7319
361,40.84681,-73.832569,40215.66667,21066,9369,11697,9703,1968,10594,10472
362,40.843863,-73.836322,49621,18516,8097,10419,7050,2186,8523,9993
363,40.839892,-73.842952,51054,20602,9494,11108,4950,2440,9178,11424
364,40.836488,-73.847036,55047,24365,12119,12246,2941,2408,10249,14116
365,40.834255,-73.851222,59470.625,35012,17247,17765,3703,7882,18279,16733
366,40.833226,-73.860816,59067.84615,68552,34694,33858,6257,18745,36034,32518
367,40.831509,-73.867618,45701.54545,53275,27029,26246,4571,13906,22423,30852
368,40.829521,-73.874516,39911.1,45225,22240,22985,2381,13372,15081,30144
369,40.828584,-73.879159,41056.83333,50836,24600,26236,2550,17267,18339,32497
370,40.826525,-73.886283,44426,38322,18176,20146,2207,14577,14465,23857
371,40.820948,-73.890549,41216,45452,21173,24279,3393,16575,15742,29710
372,40.816104,-73.896435,38110.83333,27565,13960,13605,2416,6745,6691,20874
373,40.812118,-73.904098,28099.2,34062,15948,18114,2745,11233,10368,23694
374,40.808719,-73.907657,31388.09091,35532,16687,18845,2372,11963,11175,24357
375,40.805368,-73.914042,31729.66667,34091,15741,18350,3862,9846,10203,23888
376,40.807566,-73.91924,29054.1,41018,18790,22228,4561,12170,12031,28987
377,40.810476,-73.926138,39262.66667,45065,21051,24014,6629,15474,16131,28934
378,40.886037,-73.878751,51023,10890,5111,5779,1730,1658,3326,7564
