ARREST_DATE,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,PERP_RACE,Latitude,Longitude,station_complex_id
12/17/2023,Q,110,25-44,M,WHITE,40.74681219683057,-73.8917520418653,616.0
12/17/2023,B,44,45-64,M,WHITE HISPANIC,40.82781161940969,-73.92592932593037,604.0
12/17/2023,M,25,25-44,M,BLACK,40.804375769710255,-73.93742023722204,392.0
12/17/2023,B,44,18-24,M,BLACK,40.82781161940969,-73.92592932593037,604.0
12/16/2023,M,33,25-44,M,WHITE HISPANIC,40.84095296978001,-73.93947116181074,605.0
12/16/2023,M,14,25-44,M,BLACK,40.75219043401121,-73.99346359839569,164.0
12/16/2023,M,5,25-44,M,BLACK,40.71313543861811,-74.0040580580704,622.0
12/15/2023,M,26,45-64,M,BLACK,40.8107644899635,-73.952590152183,153.0
12/15/2023,K,67,18-24,M,BLACK,40.6451306606356,-73.94896382125884,357.0
12/15/2023,B,44,25-44,F,BLACK,40.82781161940969,-73.92592932593037,604.0
12/15/2023,Q,110,25-44,M,WHITE,40.74664168277901,-73.89139142095587,616.0
12/15/2023,M,14,25-44,M,WHITE,40.75219043401121,-73.99346359839569,164.0
12/15/2023,B,40,25-44,M,BLACK,40.81856005891384,-73.92731612997096,603.0
12/15/2023,M,25,25-44,M,BLACK,40.804375769710255,-73.93742023722204,392.0
12/15/2023,B,43,25-44,M,WHITE HISPANIC,40.82950189782912,-73.87460889175321,368.0
12/15/2023,M,26,25-44,M,BLACK,40.8107644899635,-73.952590152183,153.0
12/14/2023,B,40,25-44,M,BLACK,40.80755382044926,-73.91921496573,376.0
12/14/2023,B,44,18-24,M,BLACK HISPANIC,40.82781161940969,-73.92592932593037,604.0
12/14/2023,K,75,25-44,M,BLACK,40.663807310453066,-73.90041498507392,135.0
12/14/2023,B,48,25-44,M,WHITE HISPANIC,40.84023133456983,-73.88010010626483,427.0
12/14/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
12/14/2023,K,77,25-44,M,BLACK,40.66986455425322,-73.9505021789545,343.0
12/14/2023,B,47,25-44,M,BLACK,40.90348104720813,-73.85034060870207,416.0
12/13/2023,S,120,25-44,F,BLACK,40.643566,-74.074001,501.0
12/13/2023,B,40,25-44,M,BLACK,40.81606683945181,-73.91764392674679,434.0
12/13/2023,M,14,45-64,M,WHITE,40.74641698170733,-73.98183247136635,403.0
12/13/2023,Q,114,25-44,F,BLACK,40.77006271254405,-73.91807989320797,2.0
12/13/2023,B,40,25-44,M,BLACK,40.81606683945181,-73.91764392674679,434.0
12/13/2023,K,75,25-44,M,WHITE,40.67540324751644,-73.87191357758088,188.0
